repository	links	articles	type	ratio
Biblioteca Digital de la Comunidad Madrid	7	7	REG	1.000000
Ruidera. UCLM	2	2	UNI	1.000000
Biblioteca Virtual de La Rioja	3	3	REG	1.000000
Biblioteca Virtual del Patrimonio Bibliográfico	47	26	ES	1.807692
Documentos y Archivos de Aragón	0	0	REG	0.000000
Biblioteca Digital Mundial de Unesco	26	20	TEST	1.300000
Biblioteca Virtual de Aragón	0	0	REG	0.000000
Archivo de la imagen de Castilla-La Mancha	0	0	REG	0.000000
Universidad Internacional de Andalucía. Fondo Histórico Digital de La Rábida	6	6	UNI	1.000000
Biblioteca Digital Complutense	42	18	UNI	2.333333
BiValdi. Biblioteca Digital Valenciana	10	10	REG	1.000000
Memoria Digital Catalunya	29	20	REG	1.450000
CEU Repositorio Institucional	1	1	UNI	1.000000
Biblioteca Virtual de Derecho Aragonés	152	69	INS	2.202899
Fondo antiguo Universidad Sevilla	47	45	UNI	1.044444
Biblioteca Digital Ateneo Madrid	27	25	INS	1.080000
The European Library	30	27	EU	1.111111
Almirall, portal del pensamiento del Segle XIX	0	0	INS	0.000000
Archivo Ateneo Madrid	1	1	INS	1.000000
Europeana	9	9	EU	1.000000
Iuris Digital. Biblioteca Digital de la Real Academia de Jurisprudencia y Legislación	1	1	INS	1.000000
ANC. Arxiu Nacional Catalunya	8	7	REG	1.142857
Memoria de Madrid	11	10	LOC	1.100000
Biblioteca Digital Leonesa	86	67	LOC	1.283582
Memoria de Chile	1462	842	TEST	1.736342
Fondo Antiguo Universidad de Granada	19	16	UNI	1.187500
Biblioteca Virtual Diputación de Zaragoza	2	2	LOC	1.000000
DUGi Fons Especials	5	5	UNI	1.000000
Recolector Hispana	2	2	ES	1.000000
Biblioteca Dixital de Galicia (Cidade de Cultura Galega)	1	1	REG	1.000000
Fondo Antiguo Universidad Zaragoza	4	4	UNI	1.000000
Google Books	18497	9987	TEST	1.852108
Universidad Santigo Compostela	3	3	UNI	1.000000
Biblioteca Digital de Castilla-La Mancha	63	53	REG	1.188679
Helvia Difusión. Repositorio Universidad de Huelva	22	9	UNI	2.444444
Memoria Digital Vasca	38	35	REG	1.085714
Pares. Portal Archivos	68	34	ES	2.000000
Biblioteca Digital Hispánica y Hemeroteca Histórica BNE	320	208	ES	1.538462
Fondo Histórico Cortes de Aragón	55	47	REG	1.170213
Disposit Digital UAB	87	83	UNI	1.048193
Biblioteca Virtual Miguel de Cervantes	4372	3165	INS	1.381359
Rodin. Universidad de Cádiz. Patrimonio bibliográfico	15	15	UNI	1.000000
Repositorio de la Alhambra	4	3	INS	1.333333
ARCA. Arxiu de Revistes Catalanes Antigues	6	3	REG	2.000000
Proyecto Carmesí Región de Murcia	0	0	REG	0.000000
Biblioteca Digital de Castilla y León	226	130	REG	1.738462
CERES. Red Digital de Colecciones de Museos de España	38	30	ES	1.266667
Repositorio de la Real Academia de Córdoba de Ciencias, Bellas Letras y Nobles Artes	0	0	INS	0.000000
Biblioteca Digital Universidad de Oviedo	0	0	UNI	0.000000
Colecciones digitales Univ. Barcelona	0	0	UNI	0.000000
Flons So Torres. Universitat Lérida	1	1	UNI	1.000000
Fondo Antiguo Universidad de Alcalá	48	47	UNI	1.021277
Portal Teatro Siglo de Oro	1	1	INS	1.000000
Biblioteca Digital de la Región de Murcia	6	6	REG	1.000000
Somni. Fondo Histórico Universidad de Valencia	2	2	UNI	1.000000
Biblioteca Digital de Castellón	13	13	UNI	1.000000
Gredos. Colecciones patrimoniales Universidad Salamanca	40	38	UNI	1.052632
Biblioteca Virtual de Asturias	6	5	REG	1.200000
Repositori Obert UdL. Fons Especials	0	0	UNI	0.000000
Biblioteca Virtual de la Real Academia Nacional de Farmacia	0	0	INS	0.000000
Biblioteca Digital Vasca	0	0	REG	0.000000
Biblioteca Digital Jardín Botánico	172	117	INS	1.470085
Fondo fotográfico siglo XX Universidad de Navarra	0	0	UNI	0.000000
Memoria Digital de Canarias	39	29	REG	1.344828
Hemeroteca La Vanguardia	1203	722	TEST	1.666205
LOC	1052	770	TEST	1.366234
Biblioteca Digital Fundación Sierra de Pambley	0	0	INS	0.000000
Fototeca Patrimonio Histórico	6	4	ES	1.500000
Biblioteca Digital Real Academia Historia	3	3	INS	1.000000
Galiciana. Biblioteca Digital de Galicia	1	1	REG	1.000000
Archivo ABC	4148	2325	TEST	1.784086
Biblioteca Virtual Larramendi	12	12	INS	1.000000
Digitum. Fondo Antiguo Universidad de Murcia	26	24	UNI	1.083333
UvaDoc. Universidad de Valladolid	5	5	UNI	1.000000
Repositorio Universidad Coruña	17	17	UNI	1.000000
Cartoteca Digital i Col·leccions d'imatges del Institut Cartografic de Catalunya	0	0	INS	0.000000
BINADI. Biblioteca Digital de Navarra	18	13	REG	1.384615
Biblioteca Digital de Bizkaia	3	3	LOC	1.000000
Biblioteca Saavadra Fajardo de Pensamiento Político Hispánico	54	37	INS	1.459459
Biblioteca Digital Ayuntamiento Murcia	0	0	LOC	0.000000
Biblioteca Virtual de Prensa Histórica	76	44	ES	1.727273
Portal Europeo de Archivos	0	0	EU	0.000000
Biblioteca Digital UIMP	0	0	UNI	0.000000
Arias Montano: Repositorio Institucional de la Universidad de Huelva	21	21	UNI	1.000000
RIUMA. Universidad de Málaga. Patrimonio	4	4	UNI	1.000000
Jable. Archivo de prensa digital. ULPG	11	3	UNI	3.666667
Biblioteca Virtual de Andalucía	6	6	REG	1.000000